"Which of the following statements is true about nested models?","Model A is nested in Model B if they are identical, except some parameters in model A are constrained.","Model A is nested in Model B if they are identical, except some parameters in model B are constrained.","Model A is nested in Model B if they are identical, except Model A uses a subsample of the sample used to estimate Model B.","Nested models always have the same number of predictors.","Nested models are identical except for some constrained parameters.",
"What can we say about the relative fit of Model A and Model B if Model A is nested in Model B?","Model B will always have better fit than Model A.","Model A will always have better fit than Model B.","Nested models always have equal fit.","In nested models, one model always has better fit than the other.","The bigger model always has a better fit than the smaller model in a nested pair.",
"In the context of nested models, what does 'constrained' mean?","Some parameters are fixed to 0.","Some variables are fixed to 0.","The R-squared value of the smaller model is constrained to be lower than that of the larger model.","The set of predictors is constrained.","In the context of nested models, a 'constrained' model has some parameters fixed to 0.",
"What is the purpose of performing a nested model test?","To determine whether adding specific predictors significantly improves the model's fit.","To compare two different models.","To check if the predictors are correlated with each other.","To determine if the models are independent of each other.","A nested model test is used to determine whether adding specific predictors significantly improves the model's fit.",
"Given the nested models: Y = a + b1*X1 and Y = a + b1*X1 + b2*X2, which model is the 'constrained' one?","Y = a + b1*X1","Y = a + b1*X1 + b2*X2","Neither is constrained.","It cannot be determined from the information given.","The model Y = a + b1*X1 is the 'smaller' or 'constrained' model.",
"How does the F-test for the R-squared of a single model relate to the F-test for the delta R-squared of two nested models?", "Both can be seen as delta R-squared tests; the former compares the model of interest to a model with only an intercept, which is a nested model test.", "Both can be seen as R-squared tests; both compare the model of interest to a model with only an intercept, which is a nested model test.", "Both are F-tests; these are ratios comparing the explained variance to the unexplained variance.", "The similarity is only superficial; although both are F-tests, the calculation is different.", "Both F-tests can be seen as nested model tests; the F-test for the R-squared of a single model tests against the variance explained by a model including only the intercept.",
"What can we conclude from an incremental F-test in nested models?","Whether adding specific predictors significantly improves the model's fit.","Whether the smaller model is significantly better than the larger model.","Whether the predictors of the nested models are significantly different.","Whether the larger set of predictors has significant multicollinearity.","The incremental F-test determines if adding specific predictors significantly improves the model's fit.",
"When performing an incremental F-test, what does the numerator in the F ratio represent?","The reduction in residual mean square when adding predictors to the model.","The reduction in the number of predictors from the larger to the smaller model.","The increase in residual mean square when adding predictors to the model.","The increase in the number of degrees of freedom when adding predictors to the model.","The numerator in the F ratio of an incremental F-test represents the reduction in residual mean square when adding predictors to the model.",
"Which scenario is suitable for using hierarchical regression?","To determine if theoretically relevant factors explain variance beyond demographic characteristics.","To test whether each dummy of a categorical predictor with >2 categories explains more variance than the other dummies.","To compare two unrelated models.","To check the multicollinearity of the predictors.","Hierarchical regression is suitable for determining if theoretically relevant factors explain variance beyond demographic characteristics."
"Given two nested models, one has regression sum of squares = 283.96 and residual sum of squares = 958.58; the other has regression sum of squares = 202.76 and residual sum of squares = 1039.78. What is the delta R-squared between these models?", ".065", ".078", ".085", "Can't say with this information", "The delta R-squared is the difference in regression sums of squares, divided by the total sum of squares. The latter can be calculated by adding the error sum of squares to the regression sum of squares for either model.",
"In a nested model test, numerator degrees of freedom for the F ratio is 4, how many parameters were added to the model?","4", "5", "3", "Depends on the model","The numerator degrees of freedom is equal to the difference in number of parameters.",
"In a nested model test, one model has regression sum of squares = 202.76 and 3 parameters and residual sum of squares = 1039.78, the other model has regression sum of squares = 283.96 and 4 parameters and residual sum of squares = 958.58. There are 387 participants. What is the F-value for the nested model test?", "32.44", "28.29", "24.90", "Can't say based on this information.", "The F-value is obtained by first calculating the regression mean square: dividing the difference in regression sum of squares by the difference in model DF: (283.957-202.758)/1, and calculating the residual mean square for the larger model: 958.58/(387-4). The F-value is then ((283.957-202.758)/1)/(958.58/(387-4))."
